Date,Open,High,Low,Close,Adj Close,Volume
7/25/2025,192.93,195.27,192.13,194.08,194.08,31082500
7/24/2025,198.11,198.97,191.95,193.2,193.2,45252100
7/23/2025,192.36,193.36,190.18,191.51,191.51,34068100
7/22/2025,192.42,193.36,188.49,192.11,192.11,26212900
7/21/2025,187.1,191.26,187.05,191.15,191.15,24665000
7/18/2025,186.62,187.36,184.73,185.94,185.94,21033400
7/17/2025,183.12,185.19,181.5,184.7,184.7,21654400
7/16/2025,184.32,185.34,183.08,183.77,183.77,21152600
7/15/2025,183.94,185.41,182.39,183.1,183.1,23911600
7/14/2025,182.07,184.73,180.71,182.81,182.81,20990400
7/11/2025,177.91,182.61,177.54,181.31,181.31,23975700
7/10/2025,176.67,179.59,175.74,178.7,178.7,24693700
7/9/2025,176.11,180.28,173.88,177.66,177.66,31288000
7/8/2025,178.78,178.79,173.92,175.16,175.16,24108600
7/7/2025,180.13,180.34,176.64,177.56,177.56,20991400
7/3/2025,179.82,180.77,178.19,180.55,180.55,13287400
7/2/2025,176.54,179.93,176.09,179.76,179.76,19325900
7/1/2025,176.8,177.22,174.66,176.91,176.91,25778500
6/30/2025,180.79,181.58,175.5,177.39,177.39,43964600
6/27/2025,174.63,178.84,172.71,178.27,178.27,74053100
6/26/2025,173.38,174.65,170.86,174.43,174.43,25909100
6/25/2025,168.65,173.36,168.56,171.49,171.49,23627400
6/24/2025,167.68,169.25,166.91,167.74,167.74,27310300
6/23/2025,167.32,168.48,163.33,166.01,166.01,36975600
6/20/2025,174.87,175.37,166.27,167.73,167.73,55402600
6/18/2025,177.28,177.82,172.84,173.98,173.98,32531800
6/17/2025,177,178.71,175.94,177.23,177.23,17656100
6/16/2025,175.9,178.24,175.82,177.94,177.94,18132500
6/13/2025,173.58,178.34,173.57,175.88,175.88,20873200
6/12/2025,177.48,178.13,176.11,176.97,176.97,17345900
6/11/2025,181.23,181.75,178,178.79,178.79,18994400
6/10/2025,177.76,182.45,176.48,180.01,180.01,32908000
6/9/2025,175.87,177.91,175.66,177.63,177.63,18817600
6/6/2025,172.3,175.83,172.3,174.92,174.71,22258100
6/5/2025,171.62,172.36,169.35,169.81,169.61,25375400
6/4/2025,168.28,169.58,167.79,169.39,169.19,18508700
6/3/2025,168.87,169.8,166.68,167.71,167.51,25386700
6/2/2025,169.01,171.06,168.65,170.37,170.17,24742900
5/30/2025,172.41,173.44,168.52,172.85,172.64,36258300
5/29/2025,175,175.4,171.78,172.96,172.75,21174700
5/28/2025,173.98,176.48,173.01,173.38,173.17,25999200
5/27/2025,171.3,174.29,171.21,173.98,173.77,24341300
5/23/2025,170.28,171.21,169.26,169.59,169.39,24963600
5/22/2025,173.35,178.13,171.88,171.98,171.77,45024100
5/21/2025,164.95,174.53,164.89,170.06,169.86,45567600
